대분류,중분류,소분류,세부기능,기능 설명,우선순위,현재 구현 여부
채널 홈,멤버십,멤버십 콘텐츠,멤버십 콘텐츠,멤버십 별 이용 가능한 콘텐츠 ,High,O
채널 홈,단건 구매,전체,전체 콘텐츠,단건 구매로 이용 가능한 콘텐츠,High,O
채널 홈,단건 구매,금액대별 콘텐츠,금액대별 콘텐츠,금액대별 콘텐츠,High,X
채널 홈,VROOK,VROOK 소개,VROOK 소개,VROOK 소개,Medium,X
채널 홈,VROOK,패키지 안내,패키지 구성 소개,세부 패키지 구성 콘텐츠 및 금액 안내 + 구매하기,Medium,X
채널 홈,VROOK,콘텐츠 안내,무료 콘텐츠,미끼 상품 역할을 하는 공개된 콘텐츠,Medium,X
채널 홈,VROOK,콘텐츠 안내,VROO 콘텐츠,VROOK 구매 시 이용 가능한 콘텐츠,Medium,X
채널 홈,XR팬미팅,XR팬미팅 소개,XR팬미팅 소개,XR팬미팅 소개,Medium,X
채널 홈,XR팬미팅,패키지 안내,패키지 구성 소개,세부 패키지 구성 콘텐츠 및 금액 안내 + 구매하기,Medium,X
채널 홈,XR팬미팅,콘텐츠 안내,무료 콘텐츠,미끼 상품 역할을 하는 공개된 콘텐츠,Medium,X
채널 홈,XR팬미팅,콘텐츠 안내,XR 팬미팅 콘텐츠,XR 팬미팅 구매 시 이용 가능한 콘텐츠,Medium,X
채널 홈,커뮤니티,커뮤니티 소개,커뮤니티 소개,커뮤니티의 각 기능 소개,High,X
채널 홈,커뮤니티,공지사항,공지사항 목록,공지사항 확인,High,X
채널 홈,커뮤니티,게시글,게시글 목록,"게시글 확인 및 좋아요, 댓글",High,X
채널 홈,커뮤니티,팬톡,채팅방 목록,채팅방 목록을 상세 정보와 함께 표시 + 채팅방 입장,High,X
채널 홈,커뮤니티,팬톡,채팅방 참여,참여 가능한 채팅방에 입장하고 자유롭게 대화,High,X
채널 홈,커뮤니티,이벤트,이벤트 목록,이벤트 목록을 상세 정보와 함께 표시 + 이벤트 참여,Low,X
채널 홈,커뮤니티,팬 투표,투표 목록,투표 목록을 상세 정보와 함께 표시 + 투표,Medium,X
채널 홈,커뮤니티,팬미팅,팬미팅 목록,팬미팅 목록을 상세 정보와 함께 표시 + 팬미팅 신청,Low,X
채널 홈,커뮤니티,팬 통계,팬 커뮤니티 통계,"총 팬수, 신규 팬, 멤버십 팬, 등급별 분포, 레벨 분포",High,X
채널 홈,커뮤니티,팬 통계,이달의 톱 팬,활동 점수가 가장 높은 팬부터 나열,High,X
채널 홈,커뮤니티,팬 통계,최근 팬 활동,팬들이 활동한 액션 기준으로 최근 순 노출,High,X
채널 홈,펀딩,진행중인 프로젝트,프로젝트 소개,현재 진행중인 펀딩 프로젝트 상세 소개,Medium,X
채널 홈,펀딩,진행중인 프로젝트,목표 달성률,실시간 펀딩 목표 달성률 progress bar,Medium,X
채널 홈,펀딩,진행중인 프로젝트,남은 기간,펀딩 마감까지 남은 시간 카운트다운,Medium,X
채널 홈,펀딩,진행중인 프로젝트,서포터 현황,현재 참여 서포터 수 및 목표 대비 현황,Medium,X
채널 홈,펀딩,리워드 선택,리워드 패키지,다양한 리워드 옵션 및 패키지 선택,Medium,X
채널 홈,펀딩,리워드 선택,수량 및 가격,리워드별 남은 수량 및 가격 정보,Medium,X
채널 홈,펀딩,리워드 선택,펀딩 참여하기,선택한 리워드로 펀딩 참여 버튼,Medium,X
채널 홈,펀딩,리워드 선택,얼리버드 표시,조기 참여자 할인 혜택 표시,Medium,X
채널 홈,펀딩,프로젝트 정보,스토리 상세보기,프로젝트 상세 스토리 및 제작자 소개,Medium,X
채널 홈,펀딩,프로젝트 정보,업데이트 내역,프로젝트 진행 상황 업데이트 목록,Medium,X
채널 홈,펀딩,프로젝트 정보,Q&A,서포터 질문 및 답변 섹션,Low,X
채널 홈,펀딩,프로젝트 정보,정책 안내,환불/배송/주의사항 등 정책 안내,Medium,X
채널 홈,펀딩,서포터 현황,최근 서포터,최근 펀딩에 참여한 서포터 목록,Medium,X
채널 홈,펀딩,서포터 현황,톱 서포터,높은 금액으로 펀딩에 참여한 서포터,Medium,X
채널 홈,펀딩,서포터 현황,응원 메시지,서포터들이 남긴 응원 메시지,Medium,X
채널 홈,펀딩,서포터 현황,펀딩 통계,전체 펀딩 통계 및 성과 요약,Medium,X
채널 홈,펀딩,완료된 프로젝트,성공한 프로젝트,목표를 달성한 완료된 프로젝트 목록,Medium,X
채널 홈,펀딩,완료된 프로젝트,프로젝트 결과,완료된 프로젝트의 최종 결과 및 성과,Medium,X
채널 홈,소개,채널 정보,채널 정보 상세 내용,채널 정보 상세 내용,High,O
채널 홈,소개,콘텐츠 통계,콘텐츠 통계 상세 내용,"영상수, 조회수, 구독자수, 업로드 일정",Medium,X
채널 홈,소개,연락처&소셜미디어,연락처&소셜미디어,연락처&소셜미디어,Medium,O
채널 홈,소개,자주 묻는 질문,자주 묻는 질문,자주 묻는 질문,Medium,X
채널 홈,내 활동,활동 요약,전체 활동 요약 대시보드,"활동 레벨, 이번달 활동, 전체 활동 통계",Medium,X
채널 홈,내 활동,배지 & 업적,수집한 배지,배지 내용과 획득일,Medium,X
채널 홈,내 활동,내 댓글,내가 쓴 댓글 목록,내가 쓴 댓글 내용과 영상 및 좋아요 수,Medium,X
채널 홈,내 활동,관심 콘텐츠,관심 콘텐츠,내가 좋아요 누른 콘텐츠 목록과 누른 일자,Medium,X
채널 홈,내 활동,구매 내역,구매 내역,해당 채널에 구매한 내역 ,Medium,X
채널 홈,내 활동,후원 내역,후원 내역,크리에이터에게 후원한 내역,Medium,X
채널 홈,내 활동,이벤트 참여,이벤트 참여 기록,참여한 이벤트 및 당첨 여부 표시,Low,X
채널 홈,내 활동,팬 랭킹,팬 랭킹,나의 랭킹과 카테고리별 랭킹 표시,Medium,X
채널 홈,내 활동,펀딩 참여 내역,참여한 프로젝트,내가 펀딩에 참여한 프로젝트 목록,Medium,X
채널 홈,내 활동,펀딩 참여 내역,리워드 수령 현황,펀딩 리워드 배송 및 수령 상태,Medium,X
계정 관리,프로필 설정,기본 정보,프로필 이미지 변경,사용자 프로필 사진 업로드 및 변경,High,O
계정 관리,프로필 설정,기본 정보,닉네임 변경,사용자 닉네임 수정 (중복 확인),High,O
계정 관리,프로필 설정,기본 정보,이메일 변경,계정 이메일 주소 변경 및 인증,Medium,O
계정 관리,프로필 설정,기본 정보,휴대폰 번호 변경,휴대폰 번호 변경 및 SMS 인증,Medium,O
계정 관리,프로필 설정,기본 정보,지역 설정,거주 지역 선택 (콘텐츠 추천용),Low,O
계정 관리,프로필 설정,추가 정보,생년월일 설정,나이별 콘텐츠 필터링용,Low,X
계정 관리,프로필 설정,추가 정보,성별 설정,성별별 콘텐츠 추천용,Low,X
계정 관리,프로필 설정,추가 정보,관심사 태그,선호 콘텐츠 카테고리 설정,Medium,X
계정 관리,보안 설정,비밀번호 관리,비밀번호 변경,현재 비밀번호 확인 후 새 비밀번호 설정,High,O
계정 관리,보안 설정,본인 인증,휴대폰 번호 변경,휴대폰 번호 변경,High,O
계정 관리,보안 설정,본인 인증,이메일 인증,이메일 변경,High,O
계정 관리,보안 설정,본인 인증,본인 인증,"국내는 PASS 인증, 해외는 여권 인증",High,O
계정 관리,보안 설정,2단계 인증,2FA 설정,Google OTP 등 2단계 인증 설정,Medium,X
계정 관리,보안 설정,접근 관리,로그인 이력,계정 접근 기록 확인,Medium,O
계정 관리,보안 설정,접근 관리,기기 관리,로그인된 기기 목록 및 원격 로그아웃,Low,X
계정 관리,보안 설정,접근 관리,의심스러운 활동 알림,비정상 접근 시 알림 설정,Low,X
계정 관리,보안 설정,접근 관리,계정 탈퇴,기존 탈퇴 프로세스로 연결,High,O
계정 관리,결제 설정,결제 수단,카드 등록/관리,신용카드/체크카드 등록 및 관리,High,O
계정 관리,결제 설정,결제 수단,간편결제 연동,카카오페이/토스페이 등 연동,Medium,X
계정 관리,결제 설정,결제 수단,기본 결제 수단 설정,우선 사용할 결제 수단 지정,Medium,X
계정 관리,결제 설정,결제 내역,전체 결제 내역,모든 결제 기록 조회,High,O
계정 관리,결제 설정,결제 내역,결제 수단별 내역,결제 수단별 필터링 조회,Medium,X
계정 관리,결제 설정,결제 내역,기간별 내역,월별/연별 결제 내역 조회,Medium,X
계정 관리,결제 설정,결제 내역,영수증 다운로드,개별 결제 영수증 PDF 다운로드,Medium,O
계정 관리,구독 관리,멤버십 현황,가입한 멤버십,현재 구독중인 멤버십 목록,High,O
계정 관리,구독 관리,멤버십 현황,멤버십 혜택 확인,등급별 혜택 및 사용 현황,Medium,X
계정 관리,구독 관리,멤버십 현황,갱신 예정일,다음 결제 예정일 및 금액,High,X
계정 관리,구독 관리,멤버십 관리,멤버십 업그레이드,상위 등급으로 변경,Medium,X
계정 관리,구독 관리,멤버십 관리,멤버십 일시정지,일정 기간 멤버십 중단,Low,X
계정 관리,구독 관리,멤버십 관리,멤버십 해지,멤버십 구독 취소,Medium,O
계정 관리,구매 관리,구매 내역,단건 구매 내역,개별 콘텐츠 구매 기록,High,O
계정 관리,구매 관리,구매 내역,VROOK 구매 내역,VROOK 상품 구매 기록,Medium,X
계정 관리,구매 관리,구매 내역,XR 팬미팅 참여 내역,XR 팬미팅 참여 기록,Medium,X
계정 관리,구매 관리,구매 내역,펀딩 참여 내역,펀딩 프로젝트 참여 기록,Medium,X
계정 관리,구매 관리,다운로드 관리,다운로드 가능 콘텐츠,구매한 다운로드 가능한 콘텐츠 목록,Medium,X
계정 관리,구매 관리,다운로드 관리,다운로드 이력,파일 다운로드 기록,Low,X
계정 관리,알림 설정,푸시 알림,마케팅 알림,이벤트/프로모션 알림 수신 설정,Medium,X
계정 관리,알림 설정,푸시 알림,결제 알림,결제 완료/실패 알림 설정,High,X
계정 관리,알림 설정,푸시 알림,콘텐츠 알림,구독 크리에이터 새 콘텐츠 알림,High,X
계정 관리,알림 설정,이메일 알림,뉴스레터 구독,플랫폼 소식 이메일 수신 설정,Low,X
계정 관리,알림 설정,이메일 알림,중요 공지,서비스 변경사항 이메일 알림,High,X
